time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau1,tau2,tau3,tau4,tau5,tau6,x,y,z
0.1,-2.13149338025561e-21,1.02579656526059e-06,4.7722042613113e-05,-1.41955142626693e-19,0.00177043065679088,3.84192333746247e-21,-6.22883791369892e-20,2.99767317910744e-05,0.00139457561117111,-4.14833835576657e-18,0.0517370858420002,1.12272071626332e-19,-1.18020086785874e-18,0.000567980181304568,0.0264235378958737,-7.86000951618929e-17,0.980281626480003,2.12726030449892e-18,0,0,0,0,0,0,0.409500157697165,3.64981051645821e-18,0.569899571979271
0.11,-2.81501663990669e-21,1.35474706471826e-06,6.30254568419722e-05,-1.87477048869159e-19,0.00233816900621555,5.07394403585047e-21,-7.45776692879333e-20,3.58910413278075e-05,0.00166972074354677,-4.96679172386893e-18,0.0619446408993941,1.34422978154645e-19,-1.27703945485831e-18,0.000614584449865295,0.0285916587158561,-8.50494398122819e-17,1.06071631362118,2.30180761053648e-18,0,0,0,0,0,0,0.409500166444527,3.65188419066988e-18,0.569860953408328
0.12,-3.626213132214e-21,1.74514122839166e-06,8.11873493123372e-05,-2.4150185365178e-19,0.00301195347674947,6.53609013676372e-21,-8.78168831023145e-20,4.22625084800603e-05,0.00196613373345633,-5.84850897558303e-18,0.0729412080132826,1.58286080425705e-19,-1.37019250230562e-18,0.000659415025930019,0.030677263926269,-9.12533315339197e-17,1.13808977042001,2.46971189316702e-18,0,0,0,0,0,0,0.409500150470815,3.65434120552182e-18,0.569815121455922
0.13,-4.57439850701024e-21,2.20146227996334e-06,0.00010241628827143,-3.04649969129204e-19,0.0037995217007046,8.24515269047123e-21,-1.01969372237394e-19,4.90734959685185e-05,0.00228299406051252,-6.79104937111174e-18,0.084696346859475,1.83795321409003e-19,-1.45970142075743e-18,0.000702491838627908,0.0326812806687929,-9.72145282248822e-17,1.21243639272305,2.63104779310297e-18,0,0,0,0,0,0,0.409500095539467,3.65720764548204e-18,0.569761549854576
0.14,-5.66852400122858e-21,2.72801806677916e-06,0.000126912683119684,-3.77517537953011e-19,0.0047083086269433,1.02172659089725e-20,-1.16998902456001e-19,5.63065658051596e-05,0.00261949047574483,-7.79199974963868e-18,0.0971799610722461,2.10885390481157e-19,-1.54560762077052e-18,0.00074383481708813,0.0346046360851084,-1.02935787783245e-16,1.28379057637683,2.78588995105676e-18,0,0,0,0,0,0,0.409499983583863,3.66050790812095e-18,0.569699732961761
0.15,-6.91718057995827e-21,3.32894305276123e-06,0.000154868877124911,-4.60676709061522e-19,0.00574544996046298,1.24679146300689e-20,-1.32869653626531e-19,6.39444792932527e-05,0.00297482100159959,-8.84897452932823e-18,0.110362298244336,2.39491723425906e-19,-1.62795251290164e-18,0.000783463890439853,0.0364482573168959,-1.08419868107085e-16,1.3521867172279,2.93431300774083e-18,0,0,0,0,0,0,0.409499792232007,3.66426464381731e-18,0.569629185541239
0.16,-8.32860307750043e-21,4.00820031132079e-06,0.00018646924013647,-5.54675913469604e-19,0.00691778560198082,1.50119417814347e-20,-1.4954621972295e-19,7.19701970273589e-05,0.00334819293193992,-9.95961570732555e-18,0.12421394992695,2.69550502434116e-19,-1.70677750770758e-18,0.000821398987812248,0.0382130715058361,-1.13669527094476e-16,1.4176592111228,3.07639160386762e-18,0,0,0,0,0,0,0.409499494330947,3.6684986951771e-18,0.569549442548825
0.17,-9.9106743384236e-21,4.76958351827115e-06,0.000221890261299437,-6.6004014005848e-19,0.00823186308751836,1.78635558446886e-20,-1.66993608824788e-19,8.03668788933305e-05,0.00373882283204576,-1.11215928597565e-17,0.13870585162976,3.00998656103776e-19,-1.78212401574509e-18,0.000857660038334482,0.0399000057936095,-1.18687522643496e-16,1.48024245390808,3.21220038014958e-18,0,0,0,0,0,0,0.409499057475081,3.67322903675492e-18,0.569460058923297
0.18,-1.16709293586195e-20,5.61671894474062e-06,0.000261300641768769,-7.77271211365537e-19,0.00969394102798618,2.10363383194646e-20,-1.85177243117146e-19,8.91178840683119e-05,0.00414593653861383,-1.23326031417278e-17,0.153809282820901,3.33773859439999e-19,-1.85403344757093e-18,0.000892266971135723,0.0415099873218967,-1.2347661265222e-16,1.53997084143027,3.34181397729914e-18,0,0,0,0,0,0,0.409498443542212,3.67847271562589e-18,0.56936060938317
0.19,-1.36165594263587e-20,6.55306745008539e-06,0.000304861387423475,-9.06848059374131e-19,0.0113099925487686,2.45432511874838e-20,-2.0406295889069e-19,9.82067710207389e-05,0.00456876915975767,-1.35903712873269e-17,0.169495866926977,3.67814533855025e-19,-1.92254721374189e-18,0.000925239715345141,0.0430439432323782,-1.28039555018723e-16,1.59687876953593,3.46530703602873e-18,0,0,0,0,0,0,0.409497608240966,3.68424479331912e-18,0.56925068823009
0.2,-1.57544162633463e-20,7.5819264748025e-06,0.000352725901580785,-1.0492270013034e-18,0.0130857087293081,2.83966443766249e-20,-2.23617006541657e-19,0.000107617297510339,0.00500656507500764,-1.48926496096218e-17,0.185737571333053,4.03059847168216e-19,-1.98770672481472e-18,0.000956598200091904,0.0445028006667346,-1.32379107641083e-16,1.65100063407158,3.58275419705081e-18,0,0,0,0,0,0,0.409496500672941,3.6905582895861e-18,0.569129909159561
0.21,-1.80910161657776e-20,8.70643203344267e-06,0.000405040077710315,-1.20484201539805e-18,0.0150265020426905,3.26082632249961e-20,-2.43806050571847e-19,0.000117333420588132,0.00545857793531088,-1.62372180006616e-17,0.202506707382664,4.39449713606058e-19,-2.0495533913462e-18,0.00098636235450518,0.0458874867666464,-1.36498028417373e-16,1.70237083088379,3.69423010107779e-18,0,0,0,0,0,0,0.409495062912698,3.69742412844507e-18,0.568997905079737
0.22,-2.06325441453935e-20,9.92956070752334e-06,0.000461942392148236,-1.37410501671821e-18,0.0171375097952289,3.71892559450061e-20,-2.64597169588632e-19,0.000127339296596428,0.00592407066303135,-1.7621883931476e-17,0.219775930377806,4.76924793802163e-19,-2.10812862389308e-18,0.00101455210771414,0.0471989286737942,-1.40399075245672e-16,1.75102375581909,3.79980938882213e-18,0,0,0,0,0,0,0.409493229608484,3.7048510869101e-18,0.568854327938936
0.23,-2.33848580705369e-20,1.12541316384415e-05,0.000523563996811444,-1.55740613292919e-18,0.019423597566049,4.21501810874353e-20,-2.85957856304949e-19,0.000137619281168831,0.00640231545194982,-1.90444824520753e-17,0.237518239578944,5.15426494797266e-19,-2.16347383301214e-18,0.00104118738884795,0.0484380535298586,-1.44085006024053e-16,1.79699380472402,3.89956670099627e-18,0,0,0,0,0,0,0.409490927606358,3.71284574678461e-18,0.568698848562545
0.24,-2.63534928072076e-20,1.26828085203865e-05,0.000590028811911727,-1.75511398009131e-18,0.0218893626466732,4.75010150055069e-20,-3.07856017539305e-19,0.000148157929230234,0.00689259376726385,-2.05028761914509e-17,0.255706978205007,5.54896970039229e-19,-2.21563042926015e-18,0.00106628812703578,0.0496057884765201,-1.47558578650594e-16,1.84031537344513,3.99357667831263e-18,0,0,0,0,0,0,0.409488075600153,3.7214124498722e-18,0.568531156499865
0.25,-2.95436643601183e-20,1.42181015932533e-05,0.000661453618669931,-1.9675759384497e-18,0.0245391374806059,5.32511593189585e-20,-3.30259974215771e-19,0.000158939994996824,0.00739419634558782,-2.19949553575746e-17,0.274315833433389,5.95279119383034e-19,-2.26463982319386e-18,0.00108987425140679,0.0507030606554593,-1.50822551023369e-16,1.88102285782895,4.08191396148366e-18,0,0,0,0,0,0,0.409484583809545,3.73055325693225e-18,0.568350959881455
0.26,-3.29602740137504e-20,1.5862369635555e-05,0.00073794815203013,-2.19511842822414e-18,0.0273769931029173,5.94094483781133e-20,-3.5313846136399e-19,0.000169950431976078,0.0079064231949529,-2.35186377373993e-17,0.29331883639995,6.36516589090792e-19,-2.31054342537005e-18,0.00111196569109016,0.0517307972083567,-1.53879681040455e-16,1.91915065372204,4.16465319122181e-18,0,0,0,0,0,0,0.409480353688244,3.74026791068499e-18,0.568157985287387
0.27,-3.66079124734096e-20,1.76178219573361e-05,0.000819615193373795,-2.43804718539881e-18,0.030406742579829,6.59841567279509e-20,-3.7646062811917e-19,0.000181174392966765,0.00842858359480708,-2.50718686968584e-17,0.312690362199016,6.78553771831736e-19,-2.35338264634548e-18,0.00113258237521506,0.0526899252768929,-1.56732726599928e-16,1.95473315697094,4.2418690082395e-18,0,0,0,0,0,0,0.409475277664195,3.75055380314924e-18,0.567951977626805
0.28,-4.04908640062812e-20,1.94865203930852e-05,0.00090655066323396,-2.69664753751214e-18,0.0336319444482977,7.2983006572179e-20,-4.00196037722086e-19,0.000192597230058948,0.00895999609601516,-2.66526211808661e-17,0.332405129883377,7.21335806682222e-19,-2.39319889667693e-18,0.00115174423291065,0.0535813720027484,-1.59384445599864e-16,1.98780476342219,4.31363605324917e-18,0,0,0,0,0,0,0.40946923891344,3.76140594757652e-18,0.567732700029038
